# x  u(x)  d(x)  ubar(x)  dbar(x)
2.9168999297e-01 2.1317749367e+00 9.8332524793e-01 7.4222042067e-02 8.9450943433e-02
3.0070899649e-01 2.0306429260e+00 9.2342534285e-01 6.6389610123e-02 7.8256948363e-02
3.1000686602e-01 1.9306880388e+00 8.6504226316e-01 5.9068023962e-02 6.8163877820e-02
3.1959222405e-01 1.8320280534e+00 8.0816948971e-01 5.2262001852e-02 5.9101020690e-02
3.2947395967e-01 1.7347013446e+00 7.5278995364e-01 4.5952242951e-02 5.1007794346e-02
3.3966123683e-01 1.6388729542e+00 6.9894607120e-01 4.0147290139e-02 4.3799336708e-02
3.5016350281e-01 1.5445811748e+00 6.4663164442e-01 3.4827355373e-02 3.7420289817e-02
3.6099049701e-01 1.4520002146e+00 5.9592132559e-01 2.9995354879e-02 3.1785758813e-02
3.7215225999e-01 1.3612025901e+00 5.4685079671e-01 2.5630467199e-02 2.6840633545e-02
3.8365914272e-01 1.2723152497e+00 4.9949038028e-01 2.1722855965e-02 2.2517400116e-02
3.9552181625e-01 1.1854880823e+00 4.5395353290e-01 1.8249813622e-02 1.8755269715e-02
4.0775128157e-01 1.1007726361e+00 4.1026175711e-01 1.5192523504e-02 1.5508008585e-02
4.2035887981e-01 1.0184025395e+00 3.6860365103e-01 1.2521945914e-02 1.2709575172e-02
4.3335630279e-01 9.3840270724e-01 3.2899056004e-01 1.0215647069e-02 1.0325905472e-02
